3715,Cojuşna,47.09280,28.65810
3716,Drăguşeni,47.21420,28.66420
3724,Oneşti,47.27860,28.55110
3714,Codreanca,47.28670,28.58970
3701,Străşeni,47.14139,28.61028
3703,Făgureni,47.14530,28.56280
3726,Rădeni,47.20670,28.69920
3722,Micăuţi,47.17220,28.74890
3702,Străşeni,47.14139,28.61028
3717,Găieştii Noi,47.20750,28.49560
3718,Ghelăuza,47.19360,28.59670
3719,Gornoe,47.20000,28.60000
3725,Ciobănea,47.14500,28.50220
3721,Lozova,47.13280,28.38580
3712,Căpriana,47.11750,28.50440
6431,Micleuşeni,47.12280,28.30810
3737,Vorniceni,47.14970,28.42940
3730,Scoreni,47.06470,28.60860
3727,Recea,47.22170,28.58060
3720,Mărtineşti,47.23530,28.60690
3729,Roşcani,47.14750,28.67780
3714,Lupa-Recea,47.31280,28.59250
3717,Găieşti,47.22810,28.49810
3720,Grebleşi,47.23530,28.60690
3713,Chirianca,47.25580,28.53280
3732,Tătăreşti,47.20440,28.53860
3736,Vorniceni,47.14970,28.42940
3711,Bucovăţ,47.18860,28.45690
3723,Negreşti,47.17780,28.62470
3734,Ţigăneşti,47.29890,28.55220
3735,Voi nova,47.27060,28.48720
3731,Şireţi,47.13390,28.71420
3725,Pănăşeşti,47.15310,28.51860
3734,Ţigăneşti,47.29890,28.55220
3718,Saca,47.19420,28.61080
3721,Stejăreni,47.10610,28.41640
6425,Doina,47.12190,28.27030
6431,Huzun,47.12140,28.32170
3728,Romaneşti,47.22580,28.71110
3728,Romaneşti,47.22580,28.71110